id_of_Operation,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
O2016,5.0,10.0,5.0,2017-10-14 00:05:00,2017-10-14 00:10:00,0,1
O2017,5.0,10.0,5.0,2017-10-14 00:05:00,2017-10-14 00:10:00,0,1
O2018,5.0,10.0,5.0,2017-10-14 00:05:00,2017-10-14 00:10:00,0,1
O2019,5.0,10.0,5.0,2017-10-14 00:05:00,2017-10-14 00:10:00,0,1
O2020,5.0,10.0,5.0,2017-10-14 00:05:00,2017-10-14 00:10:00,0,1
O203,918.0,930.0,12.0,2017-10-14 15:18:00,2017-10-14 15:30:00,0,1
O206,930.0,960.0,30.0,2017-10-14 15:30:00,2017-10-14 16:00:00,0,1
O213,960.0,972.0,12.0,2017-10-14 16:00:00,2017-10-14 16:12:00,0,1
O222,450.0,460.0,10.0,2017-10-14 07:30:00,2017-10-14 07:40:00,0,1
O227,1668.0,1680.0,12.0,2017-10-15 03:48:00,2017-10-15 04:00:00,0,1
O229,32.0,62.0,30.0,2017-10-14 00:32:00,2017-10-14 01:02:00,0,1
O231,392.0,417.0,25.0,2017-10-14 06:32:00,2017-10-14 06:57:00,0,1
O246,309.0,321.0,12.0,2017-10-14 05:09:00,2017-10-14 05:21:00,0,1
O247,163.0,175.0,12.0,2017-10-14 02:43:00,2017-10-14 02:55:00,0,1
O249,175.0,187.0,12.0,2017-10-14 02:55:00,2017-10-14 03:07:00,0,1
O252,187.0,199.0,12.0,2017-10-14 03:07:00,2017-10-14 03:19:00,0,1
O26,1016.0,1026.0,10.0,2017-10-14 16:56:00,2017-10-14 17:06:00,0,1
O262,1449.0,1461.0,12.0,2017-10-15 00:09:00,2017-10-15 00:21:00,0,1
O271,657.0,677.0,20.0,2017-10-14 10:57:00,2017-10-14 11:17:00,0,1
O273,199.0,219.0,20.0,2017-10-14 03:19:00,2017-10-14 03:39:00,0,1
O274,607.0,622.0,15.0,2017-10-14 10:07:00,2017-10-14 10:22:00,0,1
O292,1538.0,1563.0,25.0,2017-10-15 01:38:00,2017-10-15 02:03:00,0,1
O299,1526.0,1538.0,12.0,2017-10-15 01:26:00,2017-10-15 01:38:00,0,1
O309,1563.0,1571.0,8.0,2017-10-15 02:03:00,2017-10-15 02:11:00,0,1
O310,438.0,450.0,12.0,2017-10-14 07:18:00,2017-10-14 07:30:00,0,1
O313,972.0,984.0,12.0,2017-10-14 16:12:00,2017-10-14 16:24:00,0,1
O315,1656.0,1668.0,12.0,2017-10-15 03:36:00,2017-10-15 03:48:00,0,1
O321,1586.0,1601.0,15.0,2017-10-15 02:26:00,2017-10-15 02:41:00,0,1
O323,1644.0,1656.0,12.0,2017-10-15 03:24:00,2017-10-15 03:36:00,0,1
