id_of_Operation,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
O62,50.0,65.0,15.0,2017-10-14 00:50:00,2017-10-14 01:05:00,0,1
O63,65.0,77.0,12.0,2017-10-14 01:05:00,2017-10-14 01:17:00,0,1
O7,25.0,45.0,20.0,2017-10-14 00:25:00,2017-10-14 00:45:00,0,1
O70,5.0,35.0,30.0,2017-10-14 00:05:00,2017-10-14 00:35:00,0,1
O75,5.0,35.0,30.0,2017-10-14 00:05:00,2017-10-14 00:35:00,0,1
O76,89.0,97.0,8.0,2017-10-14 01:29:00,2017-10-14 01:37:00,0,1
O77,86.0,96.0,10.0,2017-10-14 01:26:00,2017-10-14 01:36:00,0,1
O78,77.0,88.0,11.0,2017-10-14 01:17:00,2017-10-14 01:28:00,0,1
O79,88.0,96.0,8.0,2017-10-14 01:28:00,2017-10-14 01:36:00,0,1
O80,96.0,104.0,8.0,2017-10-14 01:36:00,2017-10-14 01:44:00,0,1
O81,89.0,97.0,8.0,2017-10-14 01:29:00,2017-10-14 01:37:00,0,1
O82,89.0,97.0,8.0,2017-10-14 01:29:00,2017-10-14 01:37:00,0,1
O91,5.0,30.0,25.0,2017-10-14 00:05:00,2017-10-14 00:30:00,0,1
O93,50.0,65.0,15.0,2017-10-14 00:50:00,2017-10-14 01:05:00,0,1
O99,74.0,86.0,12.0,2017-10-14 01:14:00,2017-10-14 01:26:00,0,1
